Altium Designer Pick and Place Locations
C:\Users\gaurav\Documents\Altium\phase2\ultrazed_base\ultrazed_base\Project Outputs for ultrazed_base\Pick Place for ultrazed_PCIe_x1.csv

========================================================================================================================
File Design Information:

Date:       05-08-24
Time:       08:28
Revision:   15b38d8627f27c3a22e3e27047c8c68d6fb22e60
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"RA2","Thick Film","TopLayer","YC164","52.9002","80.8020","180","Resistor array 4-pack 5% 0402 SMD"
"RA3","Thick Film","TopLayer","YC164","27.5042","77.1588","0","Resistor array 4-pack 5% 0402 SMD"
"RA4","Thick Film","TopLayer","YC164","52.9002","76.6147","180","Resistor array 4-pack 5% 0402 SMD"
"R59","RES_NL_0603","TopLayer","RESC1608N","65.8622","44.3992","180","Resistor, SMD chip"
"R58","RES_NL_0603","TopLayer","RESC1608N","63.6485","46.6922","270","Resistor, SMD chip"
"R57","RES_NL_0603","TopLayer","RESC1608N","88.9203","29.7434","0","Resistor, SMD chip"
"R55","RES_NL_0603","TopLayer","RESC1608N","23.6474","84.6228","180","Resistor, SMD chip"
"R56","RES_NL_0603","TopLayer","RESC1608N","23.1648","91.5099","90","Resistor, SMD chip"
"Q3","NPN_MMBT3904","TopLayer","SOT23-3","23.7998","87.6508","90","Transistor SMD NPN 40V 0.2A 350mW SOT-23"
"R54","RES_NL_0603","TopLayer","RESC1608N","194.1322","47.3456","180","Resistor, SMD chip"
"R53","RES_NL_0603","TopLayer","RESC1608N","194.0560","42.6974","0","Resistor, SMD chip"
"R52","RES_NL_0603","TopLayer","RESC1608N","194.8688","45.0342","270","Resistor, SMD chip"
"R51","RES_NL_0603","TopLayer","RESC1608N","62.4078","52.3994","180","Resistor, SMD chip"
"R50","RES_NL_0603","TopLayer","RESC1608N","193.7002","33.9090","180","Resistor, SMD chip"
"R49","RES_NL_0603","TopLayer","RESC1608N","190.6520","37.1602","180","Resistor, SMD chip"
"R48","RES_NL_0603","TopLayer","RESC1608N","62.4078","53.8334","180","Resistor, SMD chip"
"R47","RES_NL_0603","TopLayer","RESC1608N","190.6520","35.7507","180","Resistor, SMD chip"
"R46","RES_NL_0603","TopLayer","RESC1608N","65.4558","53.1094","0","Resistor, SMD chip"
"R45","RES_NL_0603","TopLayer","RESC1608N","165.2086","37.1602","180","Resistor, SMD chip"
"R44","RES_NL_0603","TopLayer","RESC1608N","165.1762","46.3296","0","Resistor, SMD chip"
"R43","RES_NL_0603","TopLayer","RESC1608N","191.5662","47.4472","90","Resistor, SMD chip"
"R42","RES_NL_0603","TopLayer","RESC1608N","190.0168","47.4726","270","Resistor, SMD chip"
"R41","RES_NL_0603","TopLayer","RESC1608N","56.1928","51.7695","180","Resistor, SMD chip"
"R40","RES_NL_0603","TopLayer","RESC1608N","56.1852","53.1685","0","Resistor, SMD chip"
"L10","Ferrite","TopLayer","FBC2012N","196.7484","46.2788","90","Ferrite Bead"
"L9","Ferrite","TopLayer","FBC2012N","196.1896","36.0012","270","Ferrite Bead"
"L8","Ferrite","TopLayer","FBC2012N","161.2900","34.2646","180","Ferrite Bead"
"L7","Ferrite","TopLayer","FBC2012N","161.2900","49.0220","0","Ferrite Bead"
"C88","10n","TopLayer","CAPC1608N","194.1068","48.9204","180","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C87","10n","TopLayer","CAPC1608N","192.9886","36.1442","270","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C86","10n","TopLayer","CAPC1608N","165.1882","35.6870","0","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C85","10n","TopLayer","CAPC1608N","165.2016","47.8028","0","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C84","10µ","TopLayer","CAPC3225N","170.4588","18.2626","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C83","10µ","TopLayer","CAPC3225N","175.4541","18.2626","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C82","47uf 20V D","TopLayer","CAPMP7343X310N","163.6008","25.8572","180","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C81","47uf 20V D","TopLayer","CAPMP7343X310N","163.6008","30.6273","180","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C80","47uf 20V D","TopLayer","CAPMP7343X310N","192.2266","21.0820","0","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C79","47uf 20V D","TopLayer","CAPMP7343X310N","192.2266","25.8572","0","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C78","10µ","TopLayer","CAPC3225N","185.4448","18.2626","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C77","10µ","TopLayer","CAPC3225N","180.4495","18.2626","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C76","10µ","TopLayer","CAPC3225N","185.4451","64.8730","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C75","10µ","TopLayer","CAPC3225N","180.4498","64.8730","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C74","47uf 20V D","TopLayer","CAPMP7343X310N","192.2290","62.2554","0","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C73","47uf 20V D","TopLayer","CAPMP7343X310N","192.2266","52.7101","0","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C72","47uf 20V D","TopLayer","CAPMP7343X310N","163.6008","57.4802","180","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C71","47uf 20V D","TopLayer","CAPMP7343X310N","163.6008","52.7101","180","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C70","10µ","TopLayer","CAPC3225N","175.4545","64.8730","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C69","100n","TopLayer","CAPC1608N","8.5598","46.5708","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"D2","TPD4E001DRLR","TopLayer","SOT5x3","10.9391","46.6139","270","ESD Protection"
"U6","FIN1019MTCX","TopLayer","TSSOP14_PW_G14","23.1648","45.0342","180","Differential Buffer"
"D1","TPD8S009DSMR","TopLayer","WSON-15","15.1278","40.4850","90","Display Port ESD"
"C68","100n","TopLayer","CAPC1608N","12.5404","43.7650","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C67","100n","TopLayer","CAPC1608N","12.5404","40.3648","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"R39","RES_NL_0603","TopLayer","RESC1608N","14.7828","44.7548","180","Resistor, SMD chip"
"R38","RES_NL_0603","TopLayer","RESC1608N","27.7368","48.3362","270","Resistor, SMD chip"
"R37","RES_NL_0603","TopLayer","RESC1608N","18.3546","44.0624","270","Resistor, SMD chip"
"R36","RES_NL_0603","TopLayer","RESC1608N","14.7828","48.4632","180","Resistor, SMD chip"
"R35","RES_NL_0603","TopLayer","RESC1608N","18.3546","47.7266","270","Resistor, SMD chip"
"R34","RES_NL_0603","TopLayer","RESC1608N","29.1846","48.3108","270","Resistor, SMD chip"
"R33","RES_NL_0603","TopLayer","RESC1608N","30.6378","48.3294","270","Resistor, SMD chip"
"R32","RES_NL_0603","TopLayer","RESC1608N","20.6756","48.4632","0","Resistor, SMD chip"
"R31","RES_NL_0603","TopLayer","RESC1608N","18.3546","41.0654","90","Resistor, SMD chip"
"C66","100n","TopLayer","CAPC1005N","13.5333","46.0483","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C65","100n","TopLayer","CAPC1005N","13.5333","47.1659","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C64","100n","TopLayer","CAPC1608N","20.7772","41.4274","0","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"C61","47uf 20V D","TopLayer","CAPMP7343X310N","13.7922","27.8662","90","Capacitor SMD Tant 330uF 20% 6V3 2917"
"L5","Ferrite","TopLayer","FBC2012N","6.5278","30.8356","180","Ferrite Bead"
"L4","1.5uh","TopLayer","1217AS-H-3R3N=P3","173.5322","27.9654","270",""
"L3","3.3uh","TopLayer","1217AS-H-3R3N=P3","182.2698","27.9654","90",""
"L2","3.3uh","TopLayer","1217AS-H-3R3N=P3","182.2698","55.3720","90",""
"L1","3.3uh","TopLayer","1217AS-H-3R3N=P3","173.4814","55.3720","270",""
"C59","10n","TopLayer","CAPC1608N","175.4118","35.8394","270","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C58","10n","TopLayer","CAPC1608N","180.3140","35.8573","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C57","10n","TopLayer","CAPC1608N","175.7420","48.3234","270","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C56","10n","TopLayer","CAPC1608N","179.9584","48.3413","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"R30","RES_NL_0603","TopLayer","RESC1608N","165.1377","41.8846","0","Resistor, SMD chip"
"R29","RES_NL_0603","TopLayer","RESC1608N","165.1512","44.8268","0","Resistor, SMD chip"
"R28","RES_NL_0603","TopLayer","RESC1608N","155.6345","60.3544","180","Resistor, SMD chip"
"R27","RES_NL_0603","TopLayer","RESC1608N","155.6345","56.8452","180","Resistor, SMD chip"
"R26","RES_NL_0603","TopLayer","RESC1608N","155.6345","61.8510","180","Resistor, SMD chip"
"R25","RES_NL_0603","TopLayer","RESC1608N","155.6345","63.3476","180","Resistor, SMD chip"
"R24","RES_NL_0603","TopLayer","RESC1608N","165.1452","38.8366","180","Resistor, SMD chip"
"R23","RES_NL_0603","TopLayer","RESC1608N","155.6269","55.1180","0","Resistor, SMD chip"
"R22","RES_NL_0603","TopLayer","RESC1608N","172.0512","43.9410","90","Resistor, SMD chip"
"R21","RES_NL_0603","TopLayer","RESC1608N","171.3732","39.3954","270","Resistor, SMD chip"
"C55","10n","TopLayer","CAPC1608N","165.1502","43.3578","0","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C54","100n","TopLayer","CAPC1608N","155.6089","58.8518","180","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C53","100n","TopLayer","CAPC1608N","165.1502","40.3352","0","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C52","4u7","TopLayer","CAPC1608N","185.8132","39.6647","270","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C51","4u7","TopLayer","CAPC1608N","169.6153","44.6663","180","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C50","4u7","TopLayer","CAPC1608N","169.6330","43.1941","180","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"R20","RES_NL_0603","TopLayer","RESC1608N","8.2804","33.4772","180","Resistor, SMD chip"
"P3","Header","TopLayer","Header3x","15.7480","20.5359","180","3 Pin Header"
"C49","100n","TopLayer","CAPC1608N","2.3876","31.9786","90","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"U4","TPD4E05U06DQAR","TopLayer","uDFN-10","7.3632","24.0576","90","ESD Protection"
"U3","MIC2544-1YMM","TopLayer","MSOP8","19.6850","26.8478","90","High Side Switch, Current limit programmable"
"U2","TPD4E05U06DQAR","TopLayer","uDFN-10","7.3580","17.7974","90","ESD Protection"
"R19","RES_NL_0603","TopLayer","RESC1608N","17.0434","30.3784","90","Resistor, SMD chip"
"R18","RES_NL_0603","TopLayer","RESC1608N","24.0284","26.2892","270","Resistor, SMD chip"
"R17","RES_NL_0603","TopLayer","RESC1608N","17.5514","23.8506","180","Resistor, SMD chip"
"R16","RES_NL_0603","TopLayer","RESC1608N","4.9784","33.4772","180","Resistor, SMD chip"
"P1","Header","TopLayer","Header2x","9.6774","29.4640","270","2 Pin Header"
"C48","10µ","TopLayer","CAPC3225N","21.6916","30.4800","0","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"R15","RES_NL_0603","TopLayer","RESC1608N","24.6294","48.4632","0","Resistor, SMD chip"
"R14","RES_NL_0603","TopLayer","RESC1608N","13.0048","35.8648","0","Resistor, SMD chip"
"R13","RES_NL_0603","TopLayer","RESC1608N","13.0048","34.1122","0","Resistor, SMD chip"
"R12","RES_NL_0603","TopLayer","RESC1608N","24.6126","49.9119","0","Resistor, SMD chip"
"C47","100n","TopLayer","CAPC1005N","20.0628","38.8112","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C46","100n","TopLayer","CAPC1005N","20.0628","37.6682","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"J8","G46M2023201AWEU","TopLayer","G46M2023201AWEU","6.0607","40.0438","270","Mini Display Port"
"J7","GSB343T33HR","TopLayer","GSB343T33HR","2.9562","21.8004","270","USB3.2 Micro B"
"C45","100n","TopLayer","CAPC1005N","10.3072","18.0640","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C44","100n","TopLayer","CAPC1005N","10.3072","19.0300","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"R11","RES_NL_0603","TopLayer","RESC1608N","28.8462","62.3698","180","Resistor, SMD chip"
"R10","RES_NL_0603","TopLayer","RESC1608N","31.4706","51.8929","270","Resistor, SMD chip"
"Q2","NPN_MMBT3904","TopLayer","SOT23-3","28.8798","65.3550","90","Transistor SMD NPN 40V 0.2A 350mW SOT-23"
"Q1","NPN_MMBT3904","TopLayer","SOT23-3","28.3974","52.2091","180","Transistor SMD NPN 40V 0.2A 350mW SOT-23"
"J6","L829-1J1T-43","TopLayer","L829-1J1T-43","11.4564","59.6900","90","MagJack 1000BASE-T"
"R9","RES_NL_0603","TopLayer","RESC1608N","3.8100","47.1932","180","Resistor, SMD chip"
"C43","100n","TopLayer","CAPC1608N","24.2300","53.2148","180","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"C42","100n","TopLayer","CAPC1608N","24.2300","51.7162","180","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"C41","100n","TopLayer","CAPC1608N","24.2300","65.8114","180","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"C40","100n","TopLayer","CAPC1608N","24.2300","64.1858","180","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"J5","SAT3M3232042TR","TopLayer","SAT3M3232042TR","28.5932","22.4424","90","Sata Connector Vertical"
"C39","100n","TopLayer","CAPC1005N","33.7788","22.5754","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C38","100n","TopLayer","CAPC1005N","33.7788","23.5152","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C37","100n","TopLayer","CAPC1005N","33.8360","25.9842","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C36","100n","TopLayer","CAPC1005N","33.8360","26.9240","180","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"C35","10µ","TopLayer","CAPC3225N","18.6690","74.9300","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C34","100n","TopLayer","CAPC1608N","21.5138","74.2442","90","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"R8","RES_NL_0603","TopLayer","RESC1608N","32.5374","66.5988","180","Resistor, SMD chip"
"R7","RES_NL_0603","TopLayer","RESC1608N","18.5420","78.2570","180","Resistor, SMD chip"
"R6","RES_NL_0603","TopLayer","RESC1608N","23.0088","73.2692","270","Resistor, SMD chip"
"R5","RES_NL_0603","TopLayer","RESC1608N","17.8308","84.0232","270","Resistor, SMD chip"
"U1","MIC29302WU","TopLayer","TO-263-5","172.3800","74.9790","0",""
"R4","RES_NL_0603","TopLayer","RESC1608N","155.2702","73.9140","90","Resistor, SMD chip"
"R3","RES_NL_0603","TopLayer","RESC1608N","156.9974","73.9140","270","Resistor, SMD chip"
"C33","47uf 20V D","TopLayer","CAPMP7343X310N","160.8582","70.8914","270","Capacitor SMD Tant 330uF 20% 6V3 2917"
"C31","100n","TopLayer","CAPC1608N","163.5506","77.4446","270","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"C29","100n","TopLayer","CAPC1608N","164.1348","74.1172","90","Capacitor SMD Cer 1nF 10% 100V X7R 0603"
"C27","10µ","TopLayer","CAPC3225N","170.4591","64.8730","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"R2","RES_NL_0603","TopLayer","RESC1608N","184.1019","99.2646","90","Resistor, SMD chip"
"R1","RES_NL_0603","TopLayer","RESC1608N","32.5298","65.1002","0","Resistor, SMD chip"
"J3","1586041-6","TopLayer","1586043-6","189.5788","96.7576","90","PCIE Molex Power"
"J2","GTFP08441BEU","TopLayer","GTFP08441BEU","8.9268","78.6703","90","MicroSD card"
"C20","10µ","TopLayer","CAPC3225N","63.8302","59.1312","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C19","10µ","TopLayer","CAPC3225N","59.7408","59.1312","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C18","10µ","TopLayer","CAPC3225N","68.0466","73.2028","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C17","10µ","TopLayer","CAPC3225N","64.1604","73.2028","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C16","10µ","TopLayer","CAPC3225N","60.5536","73.2028","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C15","10µ","TopLayer","CAPC3225N","67.2846","59.1312","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C14","10µ","TopLayer","CAPC3225N","110.1344","59.5630","180","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C13","10µ","TopLayer","CAPC3225N","113.2078","32.7406","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C11","10µ","TopLayer","CAPC3225N","116.5846","72.7964","0","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C10","10µ","TopLayer","CAPC3225N","71.7550","31.9786","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C9","10µ","TopLayer","CAPC3225N","68.1863","31.9786","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C8","10µ","TopLayer","CAPC3225N","64.6176","31.9786","90","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C7","10µ","TopLayer","CAPC3225N","67.3895","18.3753","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C6","10µ","TopLayer","CAPC3225N","63.9351","18.3753","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"C5","10µ","TopLayer","CAPC3225N","70.8439","18.3753","270","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
"JX3","Female/Receptcale","TopLayer","5177985-4","44.0690","45.6941","90","100 Pin Ultrascale  SOM Connector with ultrazed specific SOM net delay"
"JX2","Female/Receptcale","TopLayer","5177985-6","87.3170","25.2850","0","140 Pin Ultrascale  SOM Connector with ultrazed specific SOM net delay"
"JX1","Female/Receptcale","TopLayer","5177985-6","87.3170","66.0770","0","140 Pin Ultrascale  SOM Connector with ultrazed specific SOM net delay"
"J1","PCIe_x1","TopLayer","PCIe_x1","55.1460","3.7533","0","PCIe X1 Card edge"
"C24","100n","TopLayer","CAPC1608N","51.6944","16.4296","0","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C22","100n","TopLayer","CAPC1608N","51.6944","18.0298","0","Capacitor SMD Cer 120pF 10% 50V C0G 0603"
"C21","10µ","TopLayer","CAPC3225N","46.5074","18.2880","180","Capacitor SMD Cer 10uF 20% 16V X5R 1210"
